title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
The Lover (TV series),-,The Lover is an omnibus series that depicts four different couples living together in one apartment complex.,Mnet,,"Romance, Comedy",,,"April 2 –
June 25, 2015",,"Oh Jung-se, Ryu Hyun-kyung, Jung Joon-young, Choi Yeo-jin, Park Jong-hwan, Ha Eun-seol, Takuya Terada, Lee Jae-joon",Kim Min-seok,"Kim Tae-eun, Jung Min-seok",12,2015,-
The Man in the Mask,"Masked Attorney, Masked Investigator","Ha Dae-chul (Joo Sang-wook) who has double identity. He's a normal prosecutor during the day and a masked vigilante at night to punish those that the law could not. Meanwhile, Yoo Min-hee (Kim Sun-a) is a female detective in charge of the violent crime division.",KBS2,,"Action, Romance, Comedy",,,"May 20 –
July 9, 2015",,"Joo Sang-wook, Kim Sun-a, Um Ki-joon, Jun Kwang-ryul, Hwang Sun-hee, Lee Moon-sik",Choi Jin-won,"Jeon San, Kim Yong-soo",16,2015,-
The Manipulated,-,"Story follows ordinary man, Tae-joong, whose life takes a drastic turn when he is wrongfully accused of a heinous crime and sent to prison. After discovering that everything was orchestrated by Yo-han, he sets out on a path of revenge.",Hulu (Disney+),,"Crime, Thriller, Revenge",,,"November 5, 2025",,"Ji Chang-wook, Doh Kyung-soo, Lee Kwang-soo, Jo Yoon-su",Oh Sang-ho,"Park Shin-woo, Kim Chang-ju",-,2025,-
The Master of Revenge,-,"A man whose name and life were taken from him seeks revenge. To do so, he must attempt to become a master noodle cook, or a god of noodles.",KBS2,,"Revenge, Melodrama",,,"April 27 –
June 30, 2016",,"Chun Jung-myung, Cho Jae-hyun, Jeong Yu-mi, Lee Sang-yeob, Gong Seung-yeon",Chae Seung-dae,Kim Jong-yeon,20,2016,-
The Matchmakers (TV series),-,"The series tells the story about a young widower, named Shim Jung-woo, and a young widow, named Jung Soon-deok, joining forces to marry off three unmarried women who represent the problem of ""old maids"" in Joseon.",KBS2,,"Period drama, Romantic comedy",,,"October 30 –
December 25, 2023",,"Rowoon, Cho Yi-hyun",Ha Soo-jin,"Hwang Seung-gi, Kim Soo-jin",16,2023,-
The Merchant (TV series),"Sangdo, The Merchant of Joseon",-,MBC,,Historical,,,"October 15, 2001 –
April 2, 2002",,"Lee Jae-ryong, Kim Hyun-joo, Jeong Bo-seok, Lee Soon-jae","Choi Wan-kyu, Jeong Hyeong-soo",Lee Byung-hoon,50,"2001, 2002",-
The Merchant: Gaekju 2015,"The God of Trade: Gaekju 2015, The God of Commerce: Gaekju 2015, Master of Trade: The Inn 2015","In late Joseon, a poor man named Chun Bong-sam inherits a decrepit inn and honestly works his way up to becoming a powerful merchant. As tradesmen clash against the bureaucratic powers that attempt to oppress them by rigging bad deals, Bong-sam never loses sight of his humble beginnings as a peddler even after achieving great success and eventually shapes the way that industry and business are done in his time.",Korean Broadcasting System,,Historical,,,"September 23, 2015 –
February 18, 2016",,"Jang Hyuk, Yu Oh-seong, Kim Min-jung, Han Chae-ah, Park Eun-hye, Lee Deok-hwa","Jung Sung-hee, Lee Han-ho",Kim Jong-sun,41,"2015, 2016",-
The Midnight Romance in Hagwon,-,"It tells the story of a secret and sweet real-life romance between Seo Hye-jin, a veteran cram school instructor, and Lee Jun-ho, a quirky student who returns after a decade to stir her heart. The secret midnight romance that begins when the lights go out in Daechi-dong Academy, and the colorful stories of the academy instructors we didn't know about.",tvN,,"Romance, Melodrama",,,"May 11 –
June 30, 2024",,"Jung Ryeo-won, Wi Ha-joon",Park Kyung-hwa,Ahn Pan-seok,16,2024,-
The Midnight Studio,-,"The series tells the story of a prickly photographer who runs a photo studio that exists only for the deceased, and a passionate lawyer.",ENA,,"Fantasy, Romance",,,"March 11 –
May 6, 2024",,"Joo Won, Kwon Nara, Yoo In-soo, Eum Moon-suk",Kim Yi-rang,Song Hyun-wook,16,2024,-
The Miracle (2013 film),-,"Tae Gong-shil (Son Na-eun) gets the request from ghosts to find a way to warm the hearts of everyone in the world. With the help of Kang Woo (Seo In-guk), who introduces her to Kim Tan (Taemin), Tae Gong-shil is able get the help of Cha Eun-sang (Minah). Cha Eun-sang asks the question ""When do people's hearts become warm?"" on her social network account. This question spreads online and various characters and idols answer in different ways that music warms their hearts. Kim Tan, Cha Eun-sang, Joo Joong-won (Jang Wooyoung), and Tae Gong-shil recruit the help of famous composer Kim Hyung-suk, as well as Yoon Chan-young (Kang Min-hyuk) and Lee Bo-na (Krystal) to form the ""You Make Miracle-2013 Friendship Project"".",-,,-,,,"December 29, 2013",,"Taemin, Bang Min-ah, Jang Wooyoung, Son Na-eun",-,-,-,2013,-
