title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
My Sweet Mobster,-,"My Sweet Mobster tells the story of a romance drama full of twists and turns between Seo Ji-hwan, who has come to terms with his dark past, and Go Eun-ha, who plays a woman that creates web videos inspiring children.",JTBC,,Romantic comedy,,,"June 12 –
August 1, 2024",,"Uhm Tae-goo, Han Sun-hwa, Kwon Yul",Na-kyung,"Kim Young-hwan, Kim Woo-hyun",16,2024,-
My Too Perfect Sons,The Sons of Sol Pharmacy House,"The Song family is headed by patriarch Kwang-ho and spunky mother Ok-hee. They have four sons—Jin-poong, Dae-poong, Sun-poong and Mi-poong. Ok-hee has doted on her four sons all their lives, but has interfered with their relationships when deeming the girlfriends ""not good enough"" for her perfect sons. Now she despairs that they are growing older and will never marry.",Korean Broadcasting System,,"Family, Romance, Comedy, Drama",,,"11 April –
11 October 2009",,"Son Hyun-joo, Lee Pil-mo, Han Sang-jin, Ji Chang-wook",Jo Jung-sun,Lee Jae-sang,54,2009,-
My Troublesome Star,-,"My Troublesome Star centers on Im Sera (Uhm Jung-hwa), a renowned South Korean actress. At the height of her career, Sera is involved in a car accident that leaves her unconscious. When she awakens, she finds herself 25 years in the future, inhabiting the body of a 50-year-old woman living in a modest, rundown rental room. With no recollection of the intervening years and her fame a distant memory, Sera is shocked to discover her fall from grace. Determined to reclaim her status as a top star, she navigates the challenges of a changed entertainment industry and her own transformed circumstances.",ENA,,Romantic comedy,,,"August 18 –
September 23, 2025",,"Uhm Jung-hwa, Song Seung-heon, Lee El, Oh Dae-hwan",-,Choi Young-huon,12,2025,-
My Unfamiliar Family,-,"My Unfamiliar Family (Korean: (아는 건 별로 없지만) 가족입니다) is a 2020 South Korean television series starring Jung Jin-young, Won Mi-kyung, Choo Ja-hyun, Han Ye-ri, Shin Jae-ha and Kim Ji-seok. It aired on tvN from June 1 to July 21, 2020.",tvN,,"Family, Drama",,,"June 1 –
July 21, 2020",,"Jung Jin-young, Won Mi-kyung, Choo Ja-hyun, Han Ye-ri, Shin Jae-ha, Kim Ji-seok",Kim Eun-jung,Kwon Young-il,16,2020,-
My Unfortunate Boyfriend,-,"My Unfortunate Boyfriend (Korean: 나의 유감스러운 남자친구; RR: Naui yugamseureoun namjachingu) is a 2015 South Korean television series starring Yang Jin-sung, No Min-woo, Yoon Hak and Han Hye-rin. It aired on MBC Dramanet on Fridays and Saturdays at 20:00 (UTC) for 16 episodes from April 10, 2015 to May 30, 2015.",MBC Dramanet,,"Romance, Comedy, Drama",,,"April 10 –
May 30, 2015",,"Yang Jin-sung, No Min-woo, Yoon Hak, Han Hye-rin",Lee Jae-yoon,Nam Ki-hoon,16,2015,-
My Youth,-,"The drama focuses on Sunwoo Hae, who, after a difficult childhood in the entertainment industry, finds peace as a novelist and florist. He reconnects with his first love, Sung Je-yeon, who is now a driven team leader at a company. Their reunion forces them to confront their past and their present selves, as they navigate their own personal and professional struggles.",JTBC,,"Youth, Romance drama",,,"September 5 –
October 17, 2025",,"Song Joong-ki, Chun Woo-hee, Lee Joo-myung, Seo Ji-hoon",Park Si-hyeon,"Lee Sang-yeop, Go Hye-jin",12,2025,-
My YouTube Diary,-,-,"Tooniverse
YouTube",,Drama,,,"August 9, 2019 –
December 11, 2020",,"Park Jae-chan, Kim Ri-won",-,-,29,"2019, 2020",-
Mysterious Personal Shopper,-,"Centered around the fashion tycoon President Eun's family, the mystery hidden inside the mansion is unveiled in an unpredictable way through the relationships and feuds between various people.",KBS2,,"Family, Drama, Revenge, Suspense",,,"February 26 –
July 20, 2018",,"Choi Myung-gil, Park Ha-na, Wang Bit-na, Lee Eun-hyung, Han Sang-jin","Kim Ye-na, Lee Jung-dae",Kim Sang-hwi,103,2018,-
Mystic Pop-up Bar,-,"Mystic Pop-up Bar tells the story of a mysterious pojangmacha (outdoor drinking establishment) run by an ill-tempered woman named Weol-ju (Hwang Jung-eum), an innocent part-time employee named Han Kang-bae (Yook Sung-jae), and a former afterlife detective known as Chief Gwi (Choi Won-young) who visit customers in their dreams to help resolve their problems. Kang-bae has a unique ability that is useful to Weol-ju - with a touch, he can make people pour out all their troubles. This is very useful to Weol-ju who needs to settle the grudges of 100,000 souls.",JTBC,,"Drama, Fantasy, Mystery, Comedy, Supernatural",,,"May 20 –
June 25, 2020",,"Hwang Jung-eum, Yook Sung-jae, Choi Won-young",Ha Yoon-ah,Jeon Chang-geun,12,2020,-
Naeil's Cantabile,Cantabile Tomorrow,-,KBS2,,"Music, Romance, Coming-of-age",,,"October 13 –
December 2, 2014",,"Joo Won, Shim Eun-kyung, Park Bo-gum, Go Kyung-pyo, Baek Yoon-sik","Park Pil-joo, Shin Jae-won","Han Sang-woo, Lee Jung-mi",16,2014,-
Naked Fireman,-,"Naked Fireman (Korean: 맨몸의 소방관; Hanja: 맨몸의 消防官; RR: Maenmomui sobanggwan) is a 2017 South Korean television series starring Lee Joon-hyuk, Jung In-sun, Jo Hee-bong, Park Hoon, Seo Jeong-yeon and Lee Won-jong. It aired on KBS2 on Wednesdays and Thursdays at 22:00 (KST) from January 12 to January 19, 2017 for 4 episodes.",KBS2,,Action,,,"January 12 –
January 19, 2017",,"Lee Joon-hyuk, Jung In-sun, Jo Hee-bong, Park Hoon, Seo Jeong-yeon, Lee Won-jong",Yoo Jeong-hee,Park Jin-seok,4,2017,-
Namib (TV series),-,"Kang Soo-hyun, a star producer who trains idols gets fired from her position as co-CEO of Pandora Entertainment. She then approaches a long-term male trainee named Yu Jin-woo with malicious intentions, but gradually shows sincerity and helps him achieve his dream.","ENA
Genie TV",,"Slice of life, Workplace",,,"December 23, 2024 –
January 28, 2025",,"Go Hyun-jung, Ryeoun, Yoon Sang-hyun, Lee Jin-woo",Eom Sung-min,"Han Sang-jae, Kang Min-gu",12,"2024, 2025",-
Narco-Saints,The Accidental Narco,"The life-threatening journey of Kang In-gu (Ha Jung-woo), a civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service to catch Jeon Yo-hwan (Hwang Jung-min), a South Korean drug lord who has taken control of Suriname.",Netflix,,"Thriller, Crime",,,"September 9, 2022",,"Ha Jung-woo, Hwang Jung-min, Park Hae-soo, Jo Woo-jin, Yoo Yeon-seok, Chang Chen","Yoon Jong-bin, Kwon Sung-hui",Yoon Jong-bin,6,2022,-
Navillera (TV series),Like a Butterfly,"Navillera tells the story of Shim Deok-chul (Park In-hwan), a 70-year-old retired mailman who decides to pursue his life-long dream of learning ballet, which does not impress his family. At the dance academy, he meets Lee Chae-rok (Song Kang), a 23-year-old dancer who became interested in ballet after trying out different sports. Chae-rok's mother was a ballet dancer before she died when he was young. He is struggling financially and thinks of giving up ballet until meeting Deok-chul, which changes his mind.",tvN,,Drama,,,"March 22 –
April 27, 2021",,"Park In-hwan, Song Kang, Na Moon-hee, Hong Seung-hee",Lee Eun-mi,Han Dong-hwa,12,2021,-
Never Twice,No Second Chances,"The series follows the story of the long-term guests at Paradise Inn, located in the heart of Seoul and their relationship with Guseong Hotel owners.",MBC TV,,"Comedy, Family, Drama",,,"November 2, 2019 –
March 7, 2020",,"Park Se-wan, Kwak Dong-yeon, Youn Yuh-jung, Oh Ji-ho, Ye Ji-won, Park Ah-in, Song Won-seok",Goo Hyun-sook,Choi Won-suk,72,"2019, 2020",-
Nevertheless (TV series),-,"An uncertain romance begins between Yoo Na-bi, a heartbroken woman who no longer believes in love, and Park Jae-eon, a flirtatious man who does not want to commit to a relationship, but gradually starts to fall in love with Na-Bi.",JTBC,,Romance,,,"June 19 –
August 21, 2021",,"Han So-hee, Song Kang",Jung Won,Kim Ga-ram,10,2021,-
New Heart,-,New Heart is a drama about heart surgeons who work in the thoracic surgery department of the fictional Kwanghee University Hospital.,Munhwa Broadcasting Corporation,,"Medical drama, Romance",,,"December 12, 2007 –
February 28, 2008",,"Ji Sung, Kim Min-jung, Cho Jae-hyun, Lee Ji-hoon",Hwang Eun-kyung,Park Hong-kyun,23,"2007, 2008",-
New Tales of Gisaeng,New Gisaeng Story,"""Gisaeng"" was the Korean equivalent of a geisha or courtesan knowledgeable in poetry, dance, music, culture and politics, who entertained noblemen and royalty of the Joseon period. This series explores the premise that gisaeng still existed in modern-day Korea.",Seoul Broadcasting System,,"Romance, Melodrama",,,"23 January –
17 July 2011",,"Im Soo-hyang, Sung Hoon, Han Hye-rin",Im Sung-han,"Lee Young-hee, Son Moon-kwon",52,2011,-
Newtopia,-,A couple who have recently broken up attempt to reunite following the emergence of a zombie outbreak that overtakes South Korea.,Coupang Play,,"Romantic fantasy, Zombie comedy",,,"February 7 –
March 21, 2025",,"Park Jeong-min, Jisoo","Han Jin-won, Ji Ho-jin",Yoon Sung-hyun,8,2025,-
Nice to Not Meet You,-,"The story revolves around Lim Hyun-joon, a stereotypical actor who longs for a fresh start in a melodrama series. He meets a veteran journalist named Wi Jeong-sook who is suddenly reassigned to the entertainment department.",tvN,,Romantic comedy,,,-,,"Lee Jung-jae, Lim Ji-yeon, Kim Ji-hoon, Seo Ji-hye",Jeong Yeo-rang,Kim Ga-Ram,-,-,-
Nice Witch,-,-,SBS TV,,"Family, Melodrama",,,"March 3 –
May 5, 2018",,"Lee Da-hae, Ryu Soo-young, Ahn Woo-yeon, Bae Soo-bin, Yoon Se-ah",Yoon Young-Mi,Oh Se-Gang,40,2018,-
Night Has Come,-,"A group of high school students is forced to play a deadly real-life game of Mafia at a retreat center. The class 2–3 students from Yooil High School go on a field trip. When night comes, all the students in the building receive a message that indicates that the mafia game is about to begin. The only way to survive is to eliminate fellow classmates and find the Mafia.",U+ Mobile TV,,"Thriller, Mystery, Revenge, Horror, Slasher",,,"December 4 –
December 21, 2023",,"Lee Jae-in, Kim Woo Seok, Choi Ye-bin, Cha Woo-min, Ahn Ji-ho, Jung So-ri",Kang Min-ji,Lim Dae-woong,12,2023,-
Night Light (TV series),"Illumination, White Nights","A story of three individuals propelled by their undying greed as they clamor for wealth and power in order to reign supreme at the top of the food chain. Seo Yi-kyung (Lee Yo-won), a cold crystal of a woman who is willing to do anything for her ambitions and she doesn't believe that greed is a sin. Park Gun-woo (Jin Goo), a warm-hearted, free-spirited man of integrity and the heir of a big company who got betrayed by his love, Yi-kyung, 12 years ago. Lee Se-jin (Uee) is a hired persona and comes from a poor family, she lost her parents when she was young, and desperately wants to escape from her situation.",MBC,,Melodrama,,,"November 21, 2016 –
January 24, 2017",,"Lee Yo-won, Jin Goo, Uee",Han Ji-hoon,Lee Jae-dong,20,"2016, 2017",-
Nine (TV series),"9, Nine: Time Traveling Nine Times",Nine tells the story of a man who finds nine incense items which allows him to travel 20 years back in time.,tvN,,"Romance, Time travel, Mystery",,,"11 March –
14 May 2013",,"Lee Jin-wook, Jo Yoon-hee","Song Jae-jeong, Kim Yoon-joo",Kim Byung-soo,20,2013,-
Nine Puzzles,-,"As a high school student, Yoon E-na discovered her murdered uncle's body, with a peculiar puzzle piece found at the scene. As the only eyewitness, she found herself unable to recall how she ended up there, making her the primary suspect in the eyes of Detective Kim Han-saem. A decade later, E-na has become an exceptional criminal profiler, working for the Seoul Metropolitan Police Agency's criminal analysis team. However, she is still tormented by the unresolved murder of her uncle. A new wave of serial killings surfaces, each one accompanied by identical enigmatic puzzle pieces, echoing the incident that transformed her life. This prompts E-na to collaborate with Han-saem once more, who, despite their tense partnership, still carries doubts regarding her role in her uncle's murder case.",Disney+,,"Mystery, Crime thriller",,,"May 21 –
June 4, 2025",,"Kim Da-mi, Son Suk-ku",Lee Eun-mi,"Yoon Jong-bin, Kim Jung-ho",11,2025,-
No Gain No Love,-,-,tvN,,Romantic comedy,,,"August 26 –
October 1, 2024",,"Shin Min-a, Kim Young-dae, Lee Sang-yi, Han Ji-hyun",Kim Hye-young,Kim Jeong-sik,12,2024,-
No Matter What (TV series),-,"A family drama revolving around a flower shop filled with beautiful flowers 365 days in a year. It tells the story of children who experienced parental divorce and remarriage and grew up fighting in a world of prejudice, fiercely overcoming difficulties in work and love.",KBS1,,"Family drama, Romance, Comedy drama",,,"October 12, 2020 –
March 26, 2021",,"Na Hye-mi, Choi Woong, Jung Min-ah, Kim Jung-heon",Go Bong-hwang,Sung Joon-hae,120,"2020, 2021",-
No Way Out: The Roulette,-,"No Way Out: The Roulette is about a police officer who is forced to protect a criminal in an ironic situation, a murderer released from prison after 13 years with a bounty on his head, a lawyer who becomes a criminal's legal representative in order to succeed, a mayor who uses criminals to save her political life, a son who lives with the stigma of being the child of a murderer, a killer who comes to Korea for pay, and a mysterious figure who puts a bounty on a criminal.",U+ Mobile TV,,"Mystery, Thriller",,,"July 31 –
August 21, 2024",,"Cho Jin-woong, Yoo Jae-myung, Kim Mu-yeol, Yum Jung-ah, Sung Yoo-bin, Greg Hsu, Lee Kwang-soo, Kim Sung-cheol",Lee Soo-jin,"Choi Kook-hee, Lee Hoo-bin",8,2024,-
"No, Thank You",-,"No, Thank You tells the story of Min Sa-rin, a daughter-in-law who tries to live through South Korea's patriarchal society and do what is expected of her from her in-laws.",KakaoTV,,Drama,,,"November 21, 2020 –
February 6, 2021",,"Park Ha-sun, Kwon Yul, Moon Hee-kyung",-,Lee Kwang-young,12,"2020, 2021",-
"Noble, My Love",-,"Lee Kang Hoon (Sung Hoon) is a wealthy heir who is attractive, but he cares little for the feelings of other people. Cha Yoon Seo (Kim Jae-kyung) is a cheerful and lovely veterinarian who runs her own animal hospital. After the two meet in an unexpected crisis, can feelings of dislike turn into feelings of love?",-,,"Romance, Comedy",,,"July 23 –
September 16, 2015",,"Sung Hoon, Kim Jae-kyung",Go Gyul,Kim Yang-hee,20,2015,-
Nobody Knows (TV series),-,"Still haunted by the death of her friend who was murdered 19 years ago by the infamous Stigmata serial killer, detective Cha Young-jin (Kim Seo-hyung) is determined to catch the culprit.",SBS TV,,"Crime, Mystery, Melodrama",,,"March 2 –
April 21, 2020",,"Kim Seo-hyung, Ryu Deok-hwan, Park Hoon, Ahn Ji-ho",Kim Eun-hyang,Lee Jeong-heum,16,2020,-
Nokdu Flower,-,"The series tells the story of two half-brothers from separate mothers but share the same father who experienced different upbringings due to their respective mothers' different social statuses. The brothers find themselves fighting on the opposite sides of the Battle of Ugeumchi, which took place in 1894 during the Donghak Peasant Revolution. Their relationship is tested as both find themselves questioning their loyalties and values.",SBS TV,,Historical period drama,,,"April 26 –
July 13, 2019",,"Jo Jung-suk, Yoon Shi-yoon, Han Ye-ri",Jeong Hyun-min,Shin Kyung-soo,48,2019,-
Nonstop (South Korean TV series),"NEW Nonstop, Nonstop 3, Nonstop 4, Nonstop 5, Rainbow Romance","Nonstop (Korean: 논스톱) is a South Korean sitcom that broadcast its first season in 2000 on MBC. It continued with 5 more seasons. The series was popular for its cast of teen idols, many who debuted through the show gaining vast popularity.",MBC,,"Comedy, drama, romance",,,"May 15, 2000 –
November 3, 2006",,-,-,-,2185,"2000, 2006",-
Not Others,-,"The series tells the story of a careless and childish single mother and her cool-headed daughter living together without countermeasures, often acting more as sisters than a mother-daughter relationship.",ENA,,"Comedy drama, Family",,,"July 17 –
August 22, 2023",,"Jeon Hye-jin, Choi Soo-young, Ahn Jae-wook, Park Sung-hoon",Min Seon-ae,Lee Min-woo,12,2023,-
Nothing Uncovered,Grabbed By the Collar,It is a melodrama chase thriller in which a reporter who catches bad guys by any means and a detective from the homicide team who handcuffs bad guys fall into a huge whirlpool while tracking down a series of murder cases together.,KBS2,,"Melodrama, Thriller, Romance",,,"March 18 –
May 7, 2024",,"Kim Ha-neul, Yeon Woo-jin, Jang Seung-jo",Bae Soo-young,"Lee Ho, Lee Hyun-kyung",16,2024,-
Now in Pyongyang,-,"Now in Pyongyang (Korean: 지금 평양에선) is a South Korean TV series depicting the top political echelons of North Korea in 1980s, with Kim Jong Il as the protagonist. As part of South Korea's anti-North Korean propaganda at the time, the drama shows Kim's vicious side and his tyranny over women, but it also tries to show that Kim has a human side. It aired on KBS1 from 30 November 1982 to 14 May 1985, with a total of 199 episodes. The drama was a huge success at the time, and the actor Kim Byung-ki, who played Kim Jong Il, shot to fame.",KBS1,,Politics,,,"November 30, 1982 –
May 14, 1985",,"Kim Byung-ki, Choi Seon-ja, Heo Jin, Kim Seong-gyeom, Sa Mi-ja, Shin Jong-seop, Kim Man-man, Baek Il-seob",-,-,199,"1982, 1985",-
"Now, We Are Breaking Up",-,The series is story of love and break ups in the romantic world. It illustrates the present scenario in the context of fashion industry. Ha Yeong-eun (Song Hye-kyo) is a trendy team leader of design department of a fashion company called 'The One'. Yoon Jae-gook (Jang Ki-yong) is a successful freelance photographer.,SBS TV,,Romantic drama,,,"November 12, 2021 –
January 8, 2022",,"Song Hye-kyo, Jang Ki-yong, Choi Hee-seo, Kim Joo-hun",Je In,Lee Gil-bok,16,"2021, 2022",-
Numbers (South Korean TV series),-,"Numbers tells the various stories that unfold within an accounting firm. It revolves around an accountant with a high school diploma, who fights against injustice.",MBC TV,,"Workplace, Action, Revenge drama, Romance",,,"June 23 –
July 29, 2023",,"Kim Myung-soo, Choi Jin-hyuk, Choi Min-soo, Yeonwoo, Kim Yoo-ri","Jung An, Oh Hye-seok",Kim Chil-bong,12,2023,-
Oasis (South Korean TV series),-,"Set against the turbulent backdrop of South Korea from the 1980s to the 1990s, the series depicts the story of three young people who fight fiercely to protect their dreams, friendship, and their one and only first love.",KBS2,,"Melodrama, Period drama, Romance, Coming-of-age",,,"March 6 –
April 25, 2023",,"Jang Dong-yoon, Seol In-ah, Choo Young-woo",Jung Hyung-soo,Han Hee,16,2023,-
OB & GY,-,"OB & GY (Korean: 산부인과; Hanja: 産婦人科; RR: Sanbuingwa), also known as Obstetrics and Gynecology Doctors, is a 2010 South Korean medical drama television series. It aired on Seoul Broadcasting System on Wednesdays to Thursdays at 21:55 for 16 episodes beginning February 3, 2010. The drama depicts the difficult decisions and moving human stories that take place daily in the OB-GYN department, focusing in particular on Seo Hye Young, a talented and determined obstetrician who has just transferred from the prestigious Seoul base to the branch hospital. Her straightforward manner of handling her professional life is in contrast with her love life, which is marred by her relationship with a married man. This becomes even more entangled when she meets Lee Sang Shik, the chief of NICU, and her long-time friend Wang Jae Suk also shows his interest.",Seoul Broadcasting System,,Medical drama,,,"February 3 –
March 25, 2010",,"Jang Seo-hee, Go Joo-won, Seo Ji-seok, Jung Ho-bin, Song Joong-ki",-,-,16,2010,-
Oh Feel Young,"Oh! Pil-seung and Bong Soon-young, Victory, Bong Soon-young, Oh! So Young","Oh Pil-seung is a free-spirited, uneducated and somewhat lazy ordinary guy. One day, he gets identified as the long-lost grandson of a wealthy CEO and finds himself heir apparent to a top-level logistics company. Pil-seung struggles to rise to the challenge of his new responsibilities with the help of his stoic and perfectly efficient secretary Noh Yoo-jung, but his snobbish rivals and detractors gleefully wait for him to screw up.",Korean Broadcasting System,,"Romance, Comedy",,,"13 September –
2 November 2004",,"Ahn Jae-wook, Chae Rim, Ryu Jin, Park Sun-young",Kang Eun-kyung,Ji Young-soo,16,2004,-
Oh My Baby,-,"Jang Ha-ri (Jang Na-ra) is a 39-year-old single woman and a workaholic who has not been in a relationship for over 10 years but wants to have a baby of her own. Just when she has given up on love and marriage, three men appear in front of her.",TVN,,Romantic comedy,,,"May 13 –
July 2, 2020",,"Jang Na-ra, Go Jun, Park Byung-eun, Jung Gun-joo",No Sun-jae,Nam Ki-hoon,16,2020,-
Oh My Ghost (South Korean TV series),Oh My Ghostess,"Na Bong-sun (Park Bo-young) has an extremely timid personality and low self-esteem, doesn't have any close friends, and is constantly getting reprimanded at her job as an assistant chef at Sun Restaurant. She also occasionally sees ghosts, thanks to a shaman grandmother. One day, Bong-sun gets possessed by a lustful virgin ghost named Shin Soon-ae (Kim Seul-gi). To make up for the lack of romance in her short life and believing that only by losing her virginity will she be able to ""resolve her grudge"" and move on to the afterlife, Soon-ae is determined to seduce as many men as she can by possessing various women, and she finds the perfect vessel in Bong-sun.",tvN,,"Romance, Comedy drama, Thriller",,,"July 3 –
August 22, 2015",,"Park Bo-young, Jo Jung-suk, Lim Ju-hwan, Kim Seul-gi","Yang Hee-seung, Yang Seo-yoon",Yoo Je-won,16,2015,-
Oh My Ghost Clients,Labor Attorney Noh Moo-jin,"The series follows the story of Noh Moo-jin, a labor attorney who is unexpectedly approached by ghosts and requested to solve their labor problems.",MBC TV,,"Fantasy, Action comedy",,,"May 30 –
June 28, 2025",,"Jung Kyung-ho, Seol In-ah, Cha Hak-yeon","Kim Bo-tong, Yoo Seung-hee",Yim Soon-rye,10,2025,-
Oh My Ladylord,-,"In one corner we have a drama screenwriter and in the other, a rom-com actress. While the writer chooses not to date, the actress cannot seem to date. The story unfolds as they find themselves sharing the same living quarters.",MBC,,"Romantic comedy, Drama, Fantasy",,,"March 24 –
May 13, 2021",,"Lee Min-ki, Nana, Kang Min Hyuk",Jo Ji-kook,Oh Da-young,16,2021,-
Oh My Venus,-,"Kim Young-ho, a.k.a. John Kim, is a personal trainer to Hollywood stars. Despite his family's wealth, Young-ho suffered a devastating illness in his childhood. But he believes living a healthy lifestyle and exercise is the only way to survive. He uses this to run from his family issues. His fear of his father and pity for his grandmother. A Hollywood scandal with an actress has him on the run back to Korea.",KBS2,,"Romance, Drama, Comedy, Fitness",,,"November 16, 2015 –
January 5, 2016",,"So Ji-sub, Shin Min-a",Kim Eun-ji,"Kim Hyung-suk, Lee Na-jeong",16,"2015, 2016",-
Oh! My Lady,Oh! My Love,"A spunky 35-year-old housewife, Yoon Gae-hwa (Chae Rim), takes on the job of house cleaner to prickly top star Sung Min-woo (Choi Siwon) in order to earn enough money to regain custody of her child from her ex-husband. Romantic hijinks and hilarity ensues when they find themselves in an awkward living situation as Min-woo pays Gae-hwa to take care of his illegitimate daughter, Ye-eun.",SBS TV,,"Romance, Comedy",,,"22 March –
11 May 2010",,"Chae Rim, Choi Si-won",Goo Sun-young,Park Young-soo,16,2010,-
Oh! Youngsim,Oh! Young-shim,"Oh Young-sim and Wang Kyung-tae, childhood friends who taste the sweetness and bitterness of life as they enter their 30s, accidentally reunite after twenty years and develop a bickering romance.",ENA,,Romantic comedy,,,"May 15 –
June 13, 2023",,"Song Ha-yoon, Lee Donghae, Lee Min-jae, Jung Woo-yeon",Jeon Seon-young,"Oh Hwan-min, Kim Kyung-eun",10,2023,-
"Oh, the Mysterious",Questionable Start,About a framed escapee turned fake police detective (Yoon Kyun-sang) taking down bad criminals and learns to uncover his true identity.,SBS TV,,Crime,,,"November 27, 2017 –
January 30, 2018",,"Yoon Kyun-sang, Jung Hye-sung",Lee Hyun-joo,Shin Kyung-soo,40,"2017, 2018",-
Ohlala Couple,Oohlala Spouses,"Yeo-ok and Soo-nam's marriage is on the rocks after Yeo-ok catches her hotelier husband cheating on her with another woman. One day, they find that their souls have swapped bodies, and begin to understand each other by experiencing each other's lives.",Korean Broadcasting System,,"Romance, Comedy",,,"1 October –
27 November 2012",,"Kim Jung-eun, Shin Hyun-joon, Han Jae-suk, Han Chae-ah",Choi Soon-shik,"Lee Jung-sub, Jeon Woo-sung",18,2012,-
Ojakgyo Family,Ojakgyo Brothers,"It is a story about a family consisting of a grandmother, father, mother, and four sons who live in Ojakgyo farm. The father is Hwang Chang-shik and the mother is Park Bok-ja. The oldest son, Hwang Tae-shik, is an almost-40-year-old physical therapist who has a son named Guk-su from a Filipina. At first, Tae-shik is embarrassed to admit Guk-su as his son and tries to hide Guk-su from his family. The second son, Hwang Tae-beom, is a reporter who marries his colleague, the rich Cha Su-yeong after getting her pregnant. Tae-beom has loved another girl, Han Hye-ryeong, but as Hye-ryeong leaves him, Tae-beom marries Su-yeong. His married life is often filled with trivial arguments and problems. The third son, Hwang Tae-hee, is a quiet detective. He is not Chang-shik's real son but he is Chang-shik's nephew. Sometimes, Tae-hee feels left out from his brothers. However, Chang-shik and Bok-ja really love him as a son that Tae-hee also regards them and their real sons as family. The youngest, Hwang Tae-pil, lately works to Su-yeong's aunt in her clothing store.",KBS2,,"Comedy, Romance, Family, Drama",,,"August 6, 2011 –
February 19, 2012",,"Uee, Joo Won, Ryu Soo-young, Choi Jung-yoon",Lee Jung-sun,Ki Min-soo,58,"2011, 2012",-
On Air (TV series),-,"Jang Ki-joon (Lee Beom-soo) used to be a top manager in the business but he went bankrupt as he couldn't compete with other powerful agencies. He was 'rescued' by Oh Seung-ah (Kim Ha-neul), a top star who agreed to join his agency after breaking off with her former one. Lee Kyung-min (Park Yong-ha) is a drama PD who gets his first chance at being a director. Seo Young-eun (Song Yoon-ah) is a much sought-after scriptwriter who is divorced and has a young son. On Air revolves around these four entertainment industry figures - a director, a writer, an actress, and her manager - as their personal and professional lives intertwine during the shooting of a drama. It also portrays how the whole production team and performers complete a project in a tight schedule as well as how actors, actresses, and entertainment agencies handle rumors surrounding them.",SBS TV,,"Melodrama, Romance",,,"March 5 –
May 15, 2008",,"Kim Ha-neul, Park Yong-ha, Lee Beom-soo, Song Yoon-ah",Kim Eun-sook,"Shin Woo-chul, Jin Hyuk",21,2008,-
On the Verge of Insanity,-,It follows the story of middle-aged office workers struggling to survive in a turbulent workplace.,MBC TV,,"Comedy, Workplace",,,"June 23 –
August 26, 2021",,"Jung Jae-young, Moon So-ri, Lee Sang-yeob, Kim Ga-eun",Jung Do-yoon,Choi Jung-in,16,2021,-
On the Way to the Airport,Road to the Airport,"Choi Soo-ah (Kim Ha-neul) is an experienced AirAsia stewardess who is married to Park Jin-seok (Shin Sung-rok), a pilot who dominates every aspect of her and their daughter Park Hyo-eun's (Kim Hwan-hee) life. Despite the protest, Jin-seok sends Hyo-eun to an international school in Malaysia where she meets Annie Seo/Seo Eun-woo, Seo Do-woo's (Lee Sang-yoon) daughter. Tragedy strikes when Annie dies while attempting to return home, and despite their initial denial, Soo-ah and Do-woo's lives become intertwined.",KBS2,,"Romance, Melodrama",,,"September 21 –
November 10, 2016",,"Kim Ha-neul, Lee Sang-yoon, Shin Sung-rok, Choi Yeo-jin, Jang Hee-jin",Lee Sook-yeon,Kim Cheol-kyu,16,2016,-
Once Again (South Korean TV series),-,"Song Young-dal (Cheon Ho-jin) and Jang Ok-boon (Cha Hwa-yeon) have been married for many years and they have four children (a son and three daughters): Joon-sun (Oh Dae-hwan), Ga-hee (Oh Yoon-ah), Na-hee (Lee Min-jung) and Da-hee (Lee Cho-hee).",KBS2,,"Drama, Melodrama",,,"March 28 –
September 13, 2020",,"Lee Sang-yeob, Lee Min-jung","Yang Hee-seung, Ahn Ah-reum",Lee Jae-sang,100,2020,-
Once Upon a Small Town,-,"Han Ji-yul, a veterinarian from Seoul, reluctantly relocates to Huidong village to take care of his grandfather's clinic. Here he meets Ahn Ja-young, a policewoman and town insider with a friendly secret, and local cafe owner Lee Sang-hyeon. Ji-yul's transition from cushy capital city life to village living is not as seamless as he hopes, testing his ability to adapt to the unique dynamics of small-town life.",KakaoTV,,Romantic comedy,,,"September 5 –
September 28, 2022",,"Park Soo-young, Choo Young-woo, Baek Sung-chul, Jung Suk-yong",Baek Eun-kyeong,Kwon Seok-jang,12,2022,-
One Dollar Lawyer,-,Chun Ji-hoon (Namkoong Min) is a former prosecutor in the Supreme Prosecutors' Office of the Republic of Korea who was trying to find a culprit which led to his girlfriend's murder. He has since been a lawyer with extraordinary skills but only charges 1000 won as his attorney's fee.,SBS TV,,"Legal drama, Comedy",,,"September 23 –
November 11, 2022",,"Namkoong Min, Kim Ji-eun, Choi Dae-hoon, Lee Deok-hwa, Park Jin-woo","Choi Soo-jin, Choi Chang-hwan","Kim Jae-hyun, Shin Jung-hoon",12,2022,-
